0.00000000000000e+00    	0.00000000000000e+00 	 8.09016994370000e-01  	-5.87785252290000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-2.49303773407816e-13 	 8.09016994371135e-01   -5.87785252290000e-01 	-4.14473876214130e-11	 1.94128423632562e-10	8.39044318477099e-22		1.00000000000000e+00
6.00000000000000e-02    	-7.81125905139610e-12 	 8.09016994410780e-01   -5.87785252290000e-01 	-6.43178795031094e-10	 3.53579155839093e-09	4.31678892095220e-19		1.00000000000000e+00
9.00000000000000e-02    	-5.70589034296410e-11 	 8.09016994708188e-01   -5.87785252290000e-01 	-3.07861033562040e-09	 1.96425303405762e-08	1.70584864827697e-17		1.00000000000000e+00
1.20000000000000e-01    	-2.26950686988048e-10 	 8.09016995890340e-01   -5.87785252290000e-01 	-8.94305205313893e-09	 6.60863594738859e-08	2.29119144415766e-16		1.00000000000000e+00
1.50000000000000e-01    	-6.40136677262263e-10 	 8.09016999219246e-01   -5.87785252290000e-01 	-1.94127769056057e-08	 1.67234168752140e-07	1.67678472571982e-15		1.00000000000001e+00
1.80000000000000e-01    	-1.43698612170736e-09 	 8.09017006748092e-01   -5.87785252290000e-01 	-3.43326292988358e-08	 3.50673499805870e-07	8.26020127963675e-15		1.00000000000006e+00
2.10000000000000e-01    	-2.72119062044356e-09 	 8.09017021336081e-01   -5.87785252290000e-01 	-5.12558514496116e-08	 6.41423067114663e-07	3.06576154169737e-14		1.00000000000021e+00
2.40000000000000e-01    	-4.47759205038248e-09 	 8.09017046462071e-01   -5.87785252289998e-01 	-6.45767774219950e-08	 1.05441240482134e-06	9.16317338926616e-14		1.00000000000056e+00
2.70000000000000e-01    	-6.46720083466604e-09 	 8.09017085795598e-01   -5.87785252289993e-01 	-6.49012819513649e-08	 1.58596945844232e-06	2.29988690048280e-13		1.00000000000126e+00
3.00000000000000e-01    	-8.10861029028270e-09 	 8.09017142509191e-01   -5.87785252289983e-01 	-3.87904783789588e-08	 2.20525611237625e-06	4.98086200583138e-13		1.00000000000243e+00
3.30000000000000e-01    	-8.35876666868043e-09 	 8.09017218346244e-01   -5.87785252289962e-01 	3.10097623939177e-08	 2.84672015830039e-06	9.47120168894370e-13		1.00000000000405e+00
3.60000000000000e-01    	-5.60893050741875e-09 	 8.09017312491582e-01   -5.87785252289924e-01 	1.64776232509565e-07	 3.40467339670555e-06	1.59772954272900e-12		1.00000000000581e+00
3.90000000000000e-01    	2.38668014452718e-09 	 8.09017420324591e-01   -5.87785252289865e-01 	3.84421152815199e-07	 3.73105062455462e-06	2.40233965175482e-12		1.00000000000703e+00
4.20000000000000e-01    	1.85319070044404e-08 	 8.09017532164374e-01   -5.87785252289780e-01 	7.11531676809667e-07	 3.63725106388372e-06	3.21969907904999e-12		1.00000000000687e+00
4.50000000000000e-01    	4.63431592300039e-08 	 8.09017632139951e-01   -5.87785252289673e-01 	1.16491418396612e-06	 2.90071725459638e-06	3.83781962118432e-12		1.00000000000489e+00
