0.00000000000000e+00    	0.00000000000000e+00 	 5.87785252290000e-01  	8.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-2.53258846746190e-13 	 5.87785252288791e-01   8.09016994370000e-01 	-4.20194933707897e-11	 -1.96582897625835e-10	-5.28530205620226e-22		1.00000000000000e+00
6.00000000000000e-02    	-7.85357068862419e-12 	 5.87785252256264e-01   8.09016994370000e-01 	-6.43883262146235e-10	 -2.63729272399553e-09	-2.65641558271092e-19		1.00000000000000e+00
9.00000000000000e-02    	-5.67385304221552e-11 	 5.87785252075394e-01   8.09016994370000e-01 	-3.03952684070366e-09	 -1.04768729714085e-08	-8.53398897737881e-18		1.00000000000000e+00
1.20000000000000e-01    	-2.22939963589338e-10 	 5.87785251574773e-01   8.09016994370000e-01 	-8.68853420384190e-09	 -2.33056314944254e-08	-8.53979569019107e-17		1.00000000000000e+00
1.50000000000000e-01    	-6.20062516992814e-10 	 5.87785250715647e-01   8.09016994370000e-01 	-1.84888949891596e-08	 -3.18104591096039e-08	-4.12536607310456e-16		1.00000000000000e+00
1.80000000000000e-01    	-1.36861422238866e-09 	 5.87785249934486e-01   8.09016994370000e-01 	-3.18411118104024e-08	 -1.28953488348252e-08	-1.00044842228804e-15		1.00000000000000e+00
2.10000000000000e-01    	-2.53664862006177e-09 	 5.87785250613902e-01   8.09016994370000e-01 	-4.56949706729381e-08	 7.38519717510286e-08	1.26513870391988e-16		1.00000000000000e+00
2.40000000000000e-01    	-4.05335893713359e-09 	 5.87785255629145e-01   8.09016994370000e-01 	-5.37242639521366e-08	 2.87542568713025e-07	1.21784945266476e-14		1.00000000000004e+00
2.70000000000000e-01    	-5.60166727287741e-09 	 5.87785269895546e-01   8.09016994370001e-01 	-4.57753644566646e-08	 7.04578518780634e-07	6.19207599688901e-14		1.00000000000025e+00
3.00000000000000e-01    	-6.50006316489843e-09 	 5.87785300826524e-01   8.09016994370005e-01 	-7.72218976769677e-09	 1.41405353494622e-06	2.08293444935435e-13		1.00000000000100e+00
3.30000000000000e-01    	-5.58755116893465e-09 	 5.87785358603987e-01   8.09016994370015e-01 	7.81667958598389e-08	 2.50985559101866e-06	5.55504016928044e-13		1.00000000000315e+00
3.60000000000000e-01    	-1.12817965162991e-09 	 5.87785456164726e-01   8.09016994370041e-01 	2.32282855900096e-07	 4.07969558066855e-06	1.25197246592212e-12		1.00000000000835e+00
3.90000000000000e-01    	9.24708523288714e-09 	 5.87785608818206e-01   8.09016994370096e-01 	4.76134463040941e-07	 6.19162742733560e-06	2.45668645227558e-12		1.00000000001928e+00
4.20000000000000e-01    	2.85436485514709e-08 	 5.87785833433088e-01   8.09016994370195e-01 	8.30244966774499e-07	 8.87895077547482e-06	4.25385842444377e-12		1.00000000003976e+00
4.50000000000000e-01    	6.03362193559951e-08 	 5.87786147160945e-01   8.09016994370356e-01 	1.31158506125633e-06	 1.21246706139689e-05	6.50569245556530e-12		1.00000000007436e+00
4.80000000000000e-01    	1.08619555791176e-07 	 5.87786565704290e-01   8.09016994370584e-01 	1.93069065516749e-06	 1.58469036630633e-05	8.65425441391323e-12		1.00000000012743e+00
5.10000000000000e-01    	1.77570479213291e-07 	 5.87787101179871e-01   8.09016994370862e-01 	2.68866671660491e-06	 1.98867471967121e-05	9.51568194915784e-12		1.00000000020136e+00
5.40000000000000e-01    	2.71221257650632e-07 	 5.87787759674217e-01   8.09016994371123e-01 	3.57431738693599e-06	 2.40001452351748e-05	7.14659091167638e-12		1.00000000029439e+00
5.70000000000000e-01    	3.93052091893874e-07 	 5.87788538633312e-01   8.09016994371232e-01 	4.56166829922577e-06	 2.78551891196334e-05	-1.10872365230104e-12		1.00000000039836e+00
6.00000000000000e-01    	5.45518587972074e-07 	 5.87789424268402e-01   8.09016994370968e-01 	5.60815543779912e-06	 3.10360711179837e-05	-1.82767053556225e-11		1.00000000049734e+00
