0.00000000000000e+00    	0.00000000000000e+00 	 1.00000000000000e+00  	-2.44929359830000e-16    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
6.30000000000000e-01    	-4.45477171029777e-01 	 9.99982408525445e-01   2.45038543304646e-10 	-1.00005245791050e+00	 -1.43859742581752e-04	2.04654557386860e-09		1.41425066352060e+00
6.60000000000000e-01    	-4.66691029137842e-01 	 9.99979841221392e-01   2.76212329404045e-10 	-1.00007070340984e+00	 -9.33822415520235e-05	8.62374850806394e-10		1.41426356120028e+00
6.90000000000000e-01    	-4.87905065797846e-01 	 9.99978652114940e-01   2.83910613871961e-10 	-1.00008560885768e+00	 -1.40006793165836e-05	1.94751821477348e-11		1.41427409834171e+00
7.20000000000000e-01    	-5.09119228960411e-01 	 9.99979433968142e-01   2.88718646531461e-10 	-1.00009402873760e+00	 9.16326231808467e-05	8.30357262966705e-10		1.41428005526245e+00
7.50000000000000e-01    	-5.30333433277977e-01 	 9.99982674821338e-01   3.40404473006142e-10 	-1.00009291856229e+00	 2.16234822608188e-04	4.62354588386005e-09		1.41427928377529e+00
7.80000000000000e-01    	-5.51547563734020e-01 	 9.99988658164888e-01   5.10330968945567e-10 	-1.00007982264654e+00	 3.47848079191215e-04	1.19645894003706e-08		1.41427004941171e+00
8.10000000000000e-01    	-5.72761484644994e-01 	 9.99997369482832e-01   8.66723258520944e-10 	-1.00005338064799e+00	 4.70500291661250e-04	2.18896161737750e-08		1.41425138695919e+00
8.40000000000000e-01    	-5.93975053835308e-01 	 1.00000842471370e+00   1.43803222943411e-09 	-1.00001377822603e+00	 5.65611518361909e-04	3.16341742797374e-08		1.41422341819045e+00
8.70000000000000e-01    	-6.15188140935748e-01 	 1.00002103593250e+00   2.17981246079220e-09 	-9.99963062359239e-01	 6.14079843581659e-04	3.72882047176129e-08		1.41418757708337e+00
9.00000000000000e-01    	-6.36400647925344e-01 	 1.00003402695946e+00   2.96652842779350e-09 	-9.99905248805929e-01	 5.98866434769455e-04	3.54633989033428e-08		1.41414669155313e+00
9.30000000000000e-01    	-6.57612529367808e-01 	 1.00004590665282e+00   3.62579260199284e-09 	-9.99846168428261e-01	 5.07794339631325e-04	2.54965674914446e-08		1.41410488238170e+00
9.60000000000000e-01    	-6.78823809415941e-01 	 1.00005500070199e+00   4.01639852167584e-09 	-9.99793029143230e-01	 3.36196138004325e-04	1.11740403400583e-08		1.41406725941563e+00
9.90000000000000e-01    	-7.00034592659934e-01 	 1.00005963450508e+00   4.12712650080889e-09 	-9.99753707709089e-01	 8.90072765560053e-05	7.79492884252961e-10		1.41403942094991e+00
1.02000000000000e+00    	-7.21245066308363e-01 	 1.00005835118776e+00   4.15126241168065e-09 	-9.99735825606201e-01	 -2.18083847537702e-04	4.69967301601630e-09		1.41402679202379e+00
1.05000000000000e+00    	-7.42455491982320e-01 	 1.00005014118394e+00   4.48574787281305e-09 	-9.99745700550736e-01	 -5.58746006570865e-04	3.08719862077685e-08		1.41403386733373e+00
1.08000000000000e+00    	-7.63666186493844e-01 	 1.00003465428460e+00   5.62387391104554e-09 	-9.99787294586345e-01	 -8.97565148053372e-04	7.96710470013099e-08		1.41406344979265e+00
1.11000000000000e+00    	-7.84877492264932e-01 	 1.00001236277040e+00   7.95559209570211e-09 	-9.99861297043449e-01	 -1.19307210427986e-03	1.40768949585780e-07		1.41411599126326e+00
1.14000000000000e+00    	-8.06089739412409e-01 	 9.99984645962230e-01   1.15445504367811e-08 	-9.99964482944128e-01	 -1.40205772737979e-03	1.94402877560877e-07		1.41418914326041e+00
1.17000000000000e+00    	-8.27303202866329e-01 	 9.99953772566214e-01   1.59894485559097e-08 	-1.00008947285343e+00	 -1.48479509453541e-03	2.18022387203183e-07		1.41427761006415e+00
1.20000000000000e+00    	-8.48518059082180e-01 	 9.99922767286905e-01   2.04724573891409e-08 	-1.00022498804917e+00	 -1.41061368212700e-03	1.96784364913092e-07		1.41437336532790e+00
1.23000000000000e+00    	-8.69734347794036e-01 	 9.99895161463914e-01   2.40366839235745e-08 	-1.00035664582079e+00	 -1.16314781992675e-03	1.33809374267517e-07		1.41446624977434e+00
1.26000000000000e+00    	-8.90951944638772e-01 	 9.99874642541147e-01   2.60311538504037e-08 	-1.00046827621222e+00	 -7.44533886786546e-04	5.48546203149728e-08		1.41454491835281e+00
1.29000000000000e+00    	-9.12170550141510e-01 	 9.99864632212031e-01   2.65556706620003e-08 	-1.00054366878235e+00	 -1.77872495872855e-04	3.17923288550573e-09		1.41459805767542e+00
1.32000000000000e+00    	-9.33389699311367e-01 	 9.99867836137007e-01   2.66834149724658e-08 	-1.00056858442339e+00	 4.92592059253452e-04	2.40394290543534e-08		1.41461575517239e+00
1.35000000000000e+00    	-9.54608793905146e-01 	 9.99885817316883e-01   2.82804199348798e-08 	-1.00053280438341e+00	 1.20389971835710e-03	1.43336129855248e-07		1.41459087443044e+00
