0.00000000000000e+00    	0.00000000000000e+00 	 8.09016994370000e-01  	-5.87785252290000e-01    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
3.00000000000000e-02    	-2.12132034357480e-02 	 8.09016994378075e-01   -5.87785252290000e-01 	-1.00000000004582e+00	 1.85391514042762e-09	4.06046942554294e-19		1.41421356240549e+00
6.00000000000000e-02    	-4.24264068673391e-02 	 8.09016994589020e-01   -5.87785252290000e-01 	-9.99999998278336e-01	 2.36964736094688e-08	8.30547105180035e-17		1.41421356115570e+00
9.00000000000000e-02    	-6.36396102138085e-02 	 8.09016995657306e-01   -5.87785252290000e-01 	-9.99999979605933e-01	 8.19371414659917e-08	1.39945965027891e-15		1.41421354795231e+00
1.20000000000000e-01    	-8.48528131067026e-02 	 8.09016997978496e-01   -5.87785252290000e-01 	-9.99999903676775e-01	 1.23145749706469e-07	6.86067474759914e-15		1.41421349426230e+00
1.50000000000000e-01    	-1.06066014608405e-01 	 8.09016999448923e-01   -5.87785252290000e-01 	-9.99999704847574e-01	 -4.42311418644347e-08	1.11957539108682e-14		1.41421335366883e+00
1.80000000000000e-01    	-1.27279213017256e-01 	 8.09016992106766e-01   -5.87785252290000e-01 	-9.99999308938963e-01	 -7.81466197576765e-07	7.99152840461023e-15		1.41421307371945e+00
2.10000000000000e-01    	-1.48492405939334e-01 	 8.09016958756727e-01   -5.87785252289999e-01 	-9.99998666204501e-01	 -2.58570455844449e-06	2.11897052960833e-13		1.41421261923993e+00
2.40000000000000e-01    	-1.69705590771176e-01 	 8.09016871146656e-01   -5.87785252289981e-01 	-9.99997794391307e-01	 -5.97680642651347e-06	1.88406325013028e-12		1.41421200278572e+00
2.70000000000000e-01    	-1.90918765646205e-01 	 8.09016691342206e-01   -5.87785252289882e-01 	-9.99996821007136e-01	 -1.13121403405025e-05	8.92174252717203e-12		1.41421131453271e+00
3.00000000000000e-01    	-2.12131930765461e-01 	 8.09016377546089e-01   -5.87785252289509e-01 	-9.99996011166827e-01	 -1.85596321978780e-05	2.93366476918681e-11		1.41421074196671e+00
