0.00000000000000e+00    	0.00000000000000e+00 	 5.87785252290000e-01  	8.09016994370000e-01    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
3.00000000000000e-02    	-2.12132034354931e-02 	 5.87785252285283e-01   8.09016994370000e-01 	-9.99999999977323e-01	 -1.19248571183351e-09	2.41708364147499e-19		1.41421356235706e+00
6.00000000000000e-02    	-4.24264068766888e-02 	 5.87785252088704e-01   8.09016994370000e-01 	-1.00000000211427e+00	 -2.58669029514113e-08	8.05293661662192e-17		1.41421356386811e+00
9.00000000000000e-02    	-6.36396104123733e-02 	 5.87785250459150e-01   8.09016994370000e-01 	-1.00000002235756e+00	 -1.55940041398789e-07	2.18852767329900e-15		1.41421357818229e+00
1.20000000000000e-01    	-8.48528144291343e-02 	 5.87785243703839e-01   8.09016994370000e-01 	-1.00000010202991e+00	 -5.36776995281249e-07	1.91245534646143e-14		1.41421363451924e+00
1.50000000000000e-01    	-1.06066019889707e-01 	 5.87785224780187e-01   8.09016994370001e-01 	-1.00000030693928e+00	 -1.32564230089516e-06	7.79446184551564e-14		1.41421377941258e+00
1.80000000000000e-01    	-1.27279228513318e-01 	 5.87785184043838e-01   8.09016994370003e-01 	-1.00000070949304e+00	 -2.59062460541053e-06	1.35457851091274e-13		1.41421406406289e+00
2.10000000000000e-01    	-1.48492442678043e-01 	 5.87785112465176e-01   8.09016994370004e-01 	-1.00000135480259e+00	 -4.18443963851022e-06	-1.99190709237629e-13		1.41421452036971e+00
2.40000000000000e-01    	-1.69705664905461e-01 	 5.87785007455867e-01   8.09016994369985e-01 	-1.00000221734488e+00	 -5.63179852117727e-06	-1.98501679347841e-12		1.41421513028478e+00
2.70000000000000e-01    	-1.90918896883718e-01 	 5.87784880545727e-01   8.09016994369900e-01 	-1.00000315942441e+00	 -6.07497157717470e-06	-6.59689345535189e-12		1.41421579643833e+00
3.00000000000000e-01    	-2.12132138120191e-01 	 5.87784765234482e-01   8.09016994369686e-01 	-1.00000390522507e+00	 -4.31736893454647e-06	-1.36703353492270e-11		1.41421632379351e+00
3.30000000000000e-01    	-2.33345384461513e-01 	 5.87784722648108e-01   8.09016994369342e-01 	-1.00000404377541e+00	 1.01091309650658e-06	-1.72730750776967e-11		1.41421642175736e+00
3.60000000000000e-01    	-2.54558626842720e-01 	 5.87784842372924e-01   8.09016994369079e-01 	-1.00000307034602e+00	 1.11665612548593e-05	-2.95115890720775e-12		1.41421573348134e+00
3.90000000000000e-01    	-2.75771850694431e-01 	 5.87785236174160e-01   8.09016994369482e-01 	-1.00000046898149e+00	 2.69163810903280e-05	4.85736557673384e-11		1.41421389424927e+00
4.20000000000000e-01    	-2.96985036420296e-01 	 5.87786023276316e-01   8.09016994371467e-01 	-9.99995830020927e-01	 4.81305333947290e-05	1.45152279310576e-10		1.41421061457471e+00
4.50000000000000e-01    	-3.18198161242270e-01 	 5.87787307409801e-01   8.09016994375750e-01 	-9.99988987084229e-01	 7.34279974860272e-05	2.54905183398821e-10		1.41420577699337e+00
4.80000000000000e-01    	-3.39411202502226e-01 	 5.87789147703982e-01   8.09016994381695e-01 	-9.99980149901533e-01	 9.99663104356431e-05	2.79240663525226e-10		1.41419952983670e+00
5.10000000000000e-01    	-3.60624142227565e-01 	 5.87791527417771e-01   8.09016994385832e-01 	-9.99970004353090e-01	 1.23460741075009e-04	5.32605097816390e-11		1.41419235779595e+00
