0.00000000000000e+00    	0.00000000000000e+00 	 8.09016994370000e-01  	5.87785252290000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	1.79685423737365e-13 	 8.09016994372203e-01   5.87785252290000e-01 	2.98426132530012e-11	 4.40223458824763e-10	-4.23365915884417e-21		1.00000000000000e+00
6.00000000000000e-02    	5.60077834950796e-12 	 8.09016994509606e-01   5.87785252290000e-01 	4.60174178653944e-10	 1.38983996855658e-08	-2.04855286939773e-18		1.00000000000000e+00
9.00000000000000e-02    	4.06869947817566e-11 	 8.09016995934023e-01   5.87785252290000e-01 	2.18747425040002e-09	 1.03233941902177e-07	-7.15203657705215e-17		1.00000000000001e+00
1.20000000000000e-01    	1.60854176473346e-10 	 8.09017002956909e-01   5.87785252290000e-01 	6.30405855888195e-09	 4.21785101985929e-07	-8.26746402276545e-16		1.00000000000009e+00
1.50000000000000e-01    	4.50580457697785e-10 	 8.09017026165844e-01   5.87785252290000e-01 	1.35520722326557e-08	 1.23670389643241e-06	-5.05901925037082e-15		1.00000000000076e+00
1.80000000000000e-01    	1.00318408238594e-09 	 8.09017085900202e-01   5.87785252290000e-01 	2.36639633207046e-08	 2.92870659523730e-06	-1.99095809559155e-14		1.00000000000429e+00
2.10000000000000e-01    	1.88024559620630e-09 	 8.09017215314329e-01   5.87785252289999e-01 	3.46815039529931e-08	 5.96442304823175e-06	-5.42504689978023e-14		1.00000000001779e+00
2.40000000000000e-01    	3.05155827779964e-09 	 8.09017462185481e-01   5.87785252289996e-01 	4.23561406760042e-08	 1.08404843390711e-05	-9.80066695183003e-14		1.00000000005876e+00
2.70000000000000e-01    	4.31960558838147e-09 	 8.09017888645796e-01   5.87785252289993e-01 	3.97337259179774e-08	 1.80017018608836e-05	-6.34331964681142e-14		1.00000000016203e+00
3.00000000000000e-01    	5.23552251968510e-09 	 8.09018568136705e-01   5.87785252289996e-01 	1.70159978018491e-08	 2.77389021230284e-05	3.29447587538180e-13		1.00000000038472e+00
3.30000000000000e-01    	5.01598244208237e-09 	 8.09019579096224e-01   5.87785252290023e-01 	-3.82293735845239e-08	 4.00749226273299e-05	1.72198793575051e-12		1.00000000080300e+00
3.60000000000000e-01    	2.47220361047230e-09 	 8.09020995182561e-01   5.87785252290121e-01 	-1.40466046128719e-07	 5.46496875231152e-05	5.30042143326158e-12		1.00000000149330e+00
3.90000000000000e-01    	-4.03686854029312e-09 	 8.09022872192016e-01   5.87785252290381e-01 	-3.05180442915448e-07	 7.06169383727717e-05	1.29016727558968e-11		1.00000000249342e+00
4.20000000000000e-01    	-1.66152150699650e-08 	 8.09025232219699e-01   5.87785252290959e-01 	-5.47484643713833e-07	 8.65659111693571e-05	2.69042513340940e-11		1.00000000374698e+00
4.50000000000000e-01    	-3.77931804211273e-08 	 8.09028046007847e-01   5.87785252292084e-01 	-8.80375171565983e-07	 1.00480900897573e-04	4.97583247769846e-11		1.00000000504859e+00
4.80000000000000e-01    	-7.04343347802627e-08 	 8.09031214795495e-01   5.87785252294050e-01 	-1.31271578324082e-06	 1.09750184602871e-04	8.30685290404534e-11		1.00000000602341e+00
5.10000000000000e-01    	-1.17578785951466e-07 	 8.09034553291532e-01   5.87785252297169e-01 	-1.84703514587554e-06	 1.11233205047133e-04	1.26291071497248e-10		1.00000000618812e+00
5.40000000000000e-01    	-1.82219075021655e-07 	 8.09037775609020e-01   5.87785252301687e-01 	-2.47725698008975e-06	 1.01391350309393e-04	1.75337658454743e-10		1.00000000514317e+00
5.70000000000000e-01    	-2.67008826386426e-07 	 8.09040486094693e-01   5.87785252307663e-01 	-3.18651604092932e-06	 7.64832768699678e-05	2.21650151380726e-10		1.00000000292992e+00
6.00000000000000e-01    	-3.73909608443038e-07 	 8.09042176942590e-01   5.87785252314833e-01 	-3.94526089224271e-06	 3.28207598790654e-05	2.52540124654353e-10		1.00000000054638e+00
6.30000000000000e-01    	-5.03788325104662e-07 	 8.09042234281994e-01   5.87785252322517e-01 	-4.70990097849897e-06	 -3.29241843214956e-05	2.53667693470458e-10		1.00000000055309e+00
6.60000000000000e-01    	-6.55986030815007e-07 	 8.09039954074027e-01   5.87785252329645e-01 	-5.42231037793358e-06	 -1.23375330607064e-04	2.14353531739837e-10		1.00000000762544e+00
6.90000000000000e-01    	-8.27889029510795e-07 	 8.09034568645733e-01   5.87785252334979e-01 	-6.01053500834521e-06	 -2.40090603680622e-04	1.35901623757047e-10		1.00000002883981e+00
7.20000000000000e-01    	-1.01454350545860e-06 	 8.09025284053626e-01   5.87785252337635e-01 	-6.39103928007642e-06	 -3.83205889170029e-04	4.22578919643247e-11		1.00000007344380e+00
7.50000000000000e-01    	-1.20836400067543e-06 	 8.09011327729257e-01   5.87785252337926e-01 	-6.47274705277896e-06	 -5.51110251874135e-04	-8.75212848635921e-12		1.00000015188219e+00
7.80000000000000e-01    	-1.39899138978849e-06 	 8.08992005055631e-01   5.87785252338527e-01 	-6.16296224013473e-06	 -7.40179925570763e-04	8.35483571272989e-11		1.00000027395211e+00
8.10000000000000e-01    	-1.57335487397307e-06 	 8.08966762701522e-01   5.87785252345825e-01 	-5.37499428540452e-06	 -9.44598204256981e-04	4.65772610228880e-10		1.00000044614723e+00
8.40000000000000e-01    	-1.71598245033006e-06 	 8.08935255752494e-01   5.87785252371226e-01 	-4.03698380213411e-06	 -1.15628634458138e-03	1.32394497079674e-09		1.00000066850698e+00
8.70000000000000e-01    	-1.80958385999566e-06 	 8.08897414977287e-01   5.87785252432089e-01 	-2.10107117282155e-06	 -1.36496674093585e-03	2.86451959256144e-09		1.00000093156888e+00
9.00000000000000e-01    	-1.83589951517098e-06 	 8.08853510010337e-01   5.87785252551885e-01 	4.48253172805910e-07	 -1.55837402369605e-03	5.28211947145371e-09		1.00000121426416e+00
9.30000000000000e-01    	-1.77677106226962e-06 	 8.08804203866176e-01   5.87785252759216e-01 	3.58794886219591e-06	 -1.72262253478627e-03	8.71624839819729e-09		1.00000148371953e+00
9.60000000000000e-01    	-1.61534931712059e-06 	 8.08750594072715e-01   5.87785253085435e-01 	7.25366368075791e-06	 -1.84273013968374e-03	1.32029631960756e-08		1.00000169785205e+00
9.90000000000000e-01    	-1.33732072112834e-06 	 8.08694235851346e-01   5.87785253560866e-01 	1.13413798740211e-05	 -1.90328892767167e-03	1.86311803460382e-08		1.00000181131704e+00
1.02000000000000e+00    	-9.32012719239575e-07 	 8.08637143202734e-01   5.87785254209928e-01 	1.57138367167888e-05	 -1.88926350309622e-03	2.47159929342886e-08		1.00000178478016e+00
1.05000000000000e+00    	-3.93239497151944e-07 	 8.08581764483249e-01   5.87785255045880e-01 	2.02112615852591e-05	 -1.78688781222036e-03	3.10020838695655e-08		1.00000159668700e+00
1.08000000000000e+00    	2.80222290388243e-07 	 8.08530930066930e-01   5.87785256066264e-01 	2.46649925660420e-05	 -1.58462235123309e-03	3.69081879809704e-08		1.00000125581739e+00
1.11000000000000e+00    	1.08458200871982e-06 	 8.08487770953233e-01   5.87785257250375e-01 	2.89116943576431e-05	 -1.27412573531316e-03	4.18181354997036e-08		1.00000081211581e+00
1.14000000000000e+00    	2.01138308601246e-06 	 8.08455608656566e-01   5.87785258560136e-01 	3.28052731399737e-05	 -8.51188525864560e-04	4.52154938714860e-08		1.00000036279898e+00
1.17000000000000e+00    	3.04813618165122e-06 	 8.08437818339210e-01   5.87785259945511e-01 	3.62234982975837e-05	 -3.16573407622048e-04	4.68481799472920e-08		1.00000005076543e+00
1.20000000000000e+00    	4.17903992668506e-06 	 8.08437668850565e-01   5.87785261355008e-01 	3.90668984162646e-05	 3.23295309800055e-04	4.68983795786129e-08		1.00000005302304e+00
1.23000000000000e+00    	5.38553604525339e-06 	 8.08458145027832e-01   5.87785262750947e-01 	4.12487702100738e-05	 1.05584801894139e-03	4.61240196711858e-08		1.00000055825810e+00
1.26000000000000e+00    	6.64643790659697e-06 	 8.08501759203634e-01   5.87785264128072e-01 	4.26770316853603e-05	 1.86214209305061e-03	4.59334553557419e-08		1.00000173469575e+00
1.29000000000000e+00    	7.93742693123148e-06 	 8.08570360258628e-01   5.87785265532932e-01 	4.32309120994685e-05	 2.71693203636779e-03	4.83572559910174e-08		1.00000369178749e+00
1.32000000000000e+00    	9.22983514243629e-06 	 8.08664949657008e-01   5.87785267080537e-01 	4.27376994747319e-05	 3.58906820482793e-03	5.58914450552534e-08		1.00000644159780e+00
1.35000000000000e+00    	1.04888161674514e-05 	 8.08785514621914e-01   5.87785268964268e-01 	4.09564608437501e-05	 4.44224088714364e-03	7.12053378955286e-08		1.00000986754208e+00
1.38000000000000e+00    	1.16712272981273e-05 	 8.08930888871198e-01   5.87785271455184e-01 	3.75762946366651e-05	 5.23607044839343e-03	9.67325514706996e-08		1.00001370882890e+00
1.41000000000000e+00    	1.27237635582400e-05 	 8.09098651085524e-01   5.87785274887863e-01 	3.22358434167611e-05	 5.92752664167477e-03	1.34192334409441e-07		1.00001756815131e+00
1.44000000000000e+00    	1.35820528746095e-05 	 8.09285070488668e-01   5.87785279631737e-01 	2.45682668107525e-05	 6.47264189125992e-03	1.84115057100417e-07		1.00002094762894e+00
1.47000000000000e+00    	1.41714888533800e-05 	 8.09485107579818e-01   5.87785286049394e-01 	1.42717260548387e-05	 6.82846523548198e-03	2.45464633270429e-07		1.00002331379884e+00
1.50000000000000e+00    	1.44105013302833e-05 	 8.09692476194343e-01   5.87785294446254e-01 	1.20009332531124e-06	 6.95518661805767e-03	3.15456097670815e-07		1.00002418701871e+00
1.53000000000000e+00    	1.42167200067501e-05 	 8.09899770734801e-01   5.87785305018793e-01 	-1.45371520781658e-05	 6.81834624334271e-03	3.89654173812351e-07		1.00002324475833e+00
1.56000000000000e+00    	1.35160758753766e-05 	 8.10098659683552e-01   5.87785317810675e-01 	-3.24819969996063e-05	 6.39103160976701e-03	4.62406596914778e-07		1.00002042296162e+00
1.59000000000000e+00    	1.22543450578084e-05 	 8.10280143477212e-01   5.87785332687009e-01 	-5.17614132797900e-05	 5.65595635516270e-03	5.27615826893080e-07		1.00001599613297e+00
1.62000000000000e+00    	1.04100405846143e-05 	 8.10434871601724e-01   5.87785349336177e-01 	-7.10672366521628e-05	 4.60731082454495e-03	5.79790093251688e-07		1.00001061612561e+00
1.65000000000000e+00    	8.00699837456099e-06 	 8.10553510478883e-01   5.87785367305888e-01 	-8.86991059462708e-05	 3.25227482581666e-03	6.15248605738059e-07		1.00000529256572e+00
1.68000000000000e+00    	5.12459890953486e-06 	 8.10627150498236e-01   5.87785386075478e-01 	-1.02680053784571e-04	 1.61208877181432e-03	6.33298052813021e-07		1.00000130468605e+00
1.71000000000000e+00    	1.90342809678241e-06 	 8.10647737554792e-01   5.87785405160356e-01 	-1.10943782915636e-04	 -2.77409423075893e-04	6.37160969372495e-07		1.00000004463246e+00
1.74000000000000e+00    	-1.45560252213152e-06 	 8.10608511850474e-01   5.87785424237776e-01 	-1.11579856113183e-04	 -2.36585764632568e-03	6.34432682305969e-07		1.00000280486250e+00
