0.00000000000000e+00    	0.00000000000000e+00 	 -1.83697019870000e-16  	-1.00000000000000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	2.64550131232913e-22 	 2.20341157056579e-12   -1.00000000000000e+00 	9.69296058649282e-20	 4.40223458837761e-10	7.20273117177837e-21		1.00000000000000e+00
6.00000000000000e-02    	5.29866760367385e-19 	 1.39606097031833e-10   -1.00000000000000e+00 	9.66141619663202e-17	 1.38983996920576e-08	3.48520631041511e-18		1.00000000000000e+00
9.00000000000000e-02    	4.41499259565632e-17 	 1.56402307765935e-09   -1.00000000000000e+00 	5.33027396858633e-15	 1.03233942136512e-07	1.21677714214124e-16		1.00000000000001e+00
1.20000000000000e-01    	9.92185420151276e-16 	 8.58690886260760e-09   -1.00000000000000e+00 	8.89768645642892e-14	 4.21785104838590e-07	1.40654500098028e-15		1.00000000000009e+00
1.50000000000000e-01    	1.07987946248483e-14 	 3.17958445550599e-08   -1.00000000000000e+00 	7.64914222253075e-13	 1.23670391532360e-06	8.60691776539343e-15		1.00000000000076e+00
1.80000000000000e-01    	7.38537776370419e-14 	 9.15302033991408e-08   -9.99999999999999e-01 	4.28958873993829e-12	 2.92870667930664e-06	3.38722032003320e-14		1.00000000000429e+00
2.10000000000000e-01    	3.64549932362311e-13 	 2.20944335544420e-07   -9.99999999999998e-01 	1.77901114799246e-11	 5.96442332911549e-06	9.22964140497710e-14		1.00000000001779e+00
2.40000000000000e-01    	1.41015754176577e-12 	 4.67815502413105e-07   -9.99999999999994e-01 	5.87639694806189e-11	 1.08404850901013e-05	1.66738908638968e-13		1.00000000005876e+00
2.70000000000000e-01    	4.50560715461417e-12 	 8.94275852556360e-07   -9.99999999999989e-01 	1.62033691310770e-10	 1.80017035306076e-05	1.07918960530630e-13		1.00000000016203e+00
3.00000000000000e-01    	1.23190844693059e-11 	 1.57376683228172e-06   -9.99999999999993e-01 	3.84690333651184e-10	 2.77389052795848e-05	-5.60490000705781e-13		1.00000000038472e+00
3.30000000000000e-01    	2.95408649203249e-11 	 2.58472647497027e-06   -1.00000000000004e+00 	8.02821742317937e-10	 4.00749277598060e-05	-2.92962205724178e-12		1.00000000080300e+00
3.60000000000000e-01    	6.32179924926395e-11 	 4.00081299756675e-06   -1.00000000000021e+00 	1.49269408828454e-09	 5.46496947303315e-05	-9.01761928481687e-12		1.00000000149329e+00
3.90000000000000e-01    	1.22225820642215e-10 	 5.87782269358107e-06   -1.00000000000065e+00 	2.49175893591165e-09	 7.06169471579909e-05	-2.19496461696416e-11		1.00000000249338e+00
4.20000000000000e-01    	2.15297101533625e-10 	 8.23785065440854e-06   -1.00000000000163e+00 	3.74307826979580e-09	 8.65659208447330e-05	-4.57722666990484e-11		1.00000000374683e+00
4.50000000000000e-01    	3.47330900921144e-10 	 1.10516391133738e-05   -1.00000000000355e+00 	5.04045839063420e-09	 1.00480912421169e-04	-8.46539575011766e-11		1.00000000504821e+00
4.80000000000000e-01    	5.14467864361050e-10 	 1.42204272090370e-05   -1.00000000000689e+00 	6.00801671852185e-09	 1.09750204895791e-04	-1.41324692787242e-10		1.00000000602255e+00
5.10000000000000e-01    	6.99648454039904e-10 	 1.75589242189996e-05   -1.00000000001220e+00 	6.16135225865635e-09	 1.11233254793137e-04	-2.14859329280720e-10		1.00000000618642e+00
5.40000000000000e-01    	8.71862544340206e-10 	 2.07812441757218e-05   -1.00000000001988e+00 	5.10009275432970e-09	 1.01391475746486e-04	-2.98302477721182e-10		1.00000000514012e+00
5.70000000000000e-01    	9.93604730600686e-10 	 2.34917357713287e-05   -1.00000000003005e+00 	2.86542641693704e-09	 7.64835650316651e-05	-3.77094229412958e-10		1.00000000292487e+00
6.00000000000000e-01    	1.04152070376587e-09 	 2.51825964748324e-05   -1.00000000004225e+00 	4.56319358933521e-10	 3.28213551645202e-05	-4.29647850164107e-10		1.00000000053862e+00
6.30000000000000e-01    	1.04415283630472e-09 	 2.52399609442586e-05   -1.00000000005532e+00 	4.35679750909967e-10	 -3.29230662377892e-05	-4.31566971496206e-10		1.00000000054196e+00
6.60000000000000e-01    	1.13751557596661e-09 	 2.29597979255022e-05   -1.00000000006745e+00 	7.48256213918710e-09	 -1.23373397214538e-04	-3.64682790715365e-10		1.00000000761050e+00
6.90000000000000e-01    	1.63383361735515e-09 	 1.75744442957611e-05   -1.00000000007652e+00 	2.86774993142737e-08	 -2.40087495005816e-04	-2.31213273576177e-10		1.00000002882100e+00
7.20000000000000e-01    	3.09171646539552e-09 	 8.28996803343083e-06   -1.00000000008104e+00 	7.32708818895025e-08	 -3.83201208077492e-04	-7.18961889880546e-11		1.00000007342158e+00
7.50000000000000e-01    	6.36868934927631e-09 	 -5.66618749141570e-06   -1.00000000008154e+00 	1.51706114523567e-07	 -5.51103618663358e-04	1.48928775319263e-11		1.00000015185760e+00
7.80000000000000e-01    	1.26314608907315e-08 	 -2.49886290894731e-05   -1.00000000008256e+00 	2.73770889907752e-07	 -7.40171055388965e-04	-1.42122305241547e-10		1.00000027392660e+00
8.10000000000000e-01    	2.32981117233164e-08 	 -5.02306820067369e-05   -1.00000000009497e+00 	4.45937144484137e-07	 -9.44586999145013e-04	-7.92367146954730e-10		1.00000044612230e+00
8.40000000000000e-01    	3.98919171657324e-08 	 -8.17372616972741e-05   -1.00000000013819e+00 	6.68206458592680e-07	 -1.15627298445240e-03	-2.25231493611875e-09		1.00000066848361e+00
8.70000000000000e-01    	6.38002653634616e-08 	 -1.19577609882384e-04   -1.00000000024173e+00 	9.31060156399618e-07	 -1.36495175113048e-03	-4.87319533464070e-09		1.00000093154664e+00
9.00000000000000e-01    	9.59539444922899e-08 	 -1.63482113375810e-04   -1.00000000044553e+00 	1.21335583796294e-06	 -1.55835829306017e-03	-8.98611112297645e-09		1.00000121424028e+00
