0.00000000000000e+00    	0.00000000000000e+00 	 -5.87785252290000e-01  	8.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-1.30549101552472e-13 	 -5.87785252287797e-01   8.09016994370000e-01 	-2.16819275081450e-11	 4.40223458847537e-10	-5.82713192399265e-21		1.00000000000000e+00
6.00000000000000e-02    	-4.06920274655910e-12 	 -5.87785252150394e-01   8.09016994370000e-01 	-3.34335944353651e-10	 1.38983996967846e-08	-2.81959113506796e-18		1.00000000000000e+00
9.00000000000000e-02    	-2.95607558376549e-11 	 -5.87785250725977e-01   8.09016994370000e-01 	-1.58928387067355e-09	 1.03233942306844e-07	-9.84393388123690e-17		1.00000000000001e+00
1.20000000000000e-01    	-1.16865687176853e-10 	 -5.87785243703091e-01   8.09016994370000e-01 	-4.58001303427938e-09	 4.21785106911487e-07	-1.13791881512282e-15		1.00000000000009e+00
1.50000000000000e-01    	-3.27347221486465e-10 	 -5.87785220494155e-01   8.09016994370000e-01 	-9.84483622698009e-09	 1.23670392904978e-06	-6.96314282115909e-15		1.00000000000076e+00
1.80000000000000e-01    	-7.28728392281675e-10 	 -5.87785160759795e-01   8.09016994370000e-01 	-1.71854697499065e-08	 2.92870674038879e-06	-2.74031885736735e-14		1.00000000000429e+00
2.10000000000000e-01    	-1.36544898920403e-09 	 -5.87785031345660e-01   8.09016994369998e-01 	-2.51668724178581e-08	 5.96442353319397e-06	-7.46693695056920e-14		1.00000000001779e+00
2.40000000000000e-01    	-2.21465218266403e-09 	 -5.87784784474482e-01   8.09016994369995e-01 	-3.06720787891518e-08	 1.08404856357648e-05	-1.34894612674449e-13		1.00000000005876e+00
2.70000000000000e-01    	-3.13059801895957e-09 	 -5.87784358014107e-01   8.09016994369991e-01 	-2.85884808564415e-08	 1.80017047437467e-05	-8.73082500584059e-14		1.00000000016203e+00
3.00000000000000e-01    	-3.78256014139061e-09 	 -5.87783678523075e-01   8.09016994369994e-01 	-1.16986514056308e-08	 2.77389075729784e-05	4.53446104678853e-13		1.00000000038472e+00
3.30000000000000e-01    	-3.59332025081093e-09 	 -5.87782667563343e-01   8.09016994370032e-01 	2.91614002690830e-08	 4.00749314887988e-05	2.37011473567331e-12		1.00000000080300e+00
3.60000000000000e-01    	-1.68701040256524e-09 	 -5.87781251476686e-01   8.09016994370166e-01 	1.04631821425798e-07	 5.46496999667227e-05	7.29540944330696e-12		1.00000000149330e+00
3.90000000000000e-01    	3.14398971003760e-09 	 -5.87779374466814e-01   8.09016994370524e-01 	2.26028828717940e-07	 7.06169535408822e-05	1.77576423272796e-11		1.00000000249340e+00
4.20000000000000e-01    	1.24433902891265e-08 	 -5.87777014438651e-01   8.09016994371320e-01 	4.04233695865453e-07	 8.65659278743787e-05	3.70305536259177e-11		1.00000000374691e+00
4.50000000000000e-01    	2.80580539784681e-08 	 -5.87774200649966e-01   8.09016994372868e-01 	6.48332958667950e-07	 1.00480920793652e-04	6.84865132494286e-11		1.00000000504842e+00
4.80000000000000e-01    	5.20618246680753e-08 	 -5.87771031861546e-01   8.09016994375574e-01 	9.64117549206066e-07	 1.09750219639606e-04	1.14334119353477e-10		1.00000000602302e+00
5.10000000000000e-01    	8.66340181528243e-08 	 -5.87767693363829e-01   8.09016994379867e-01 	1.35258833453410e-06	 1.11233290935937e-04	1.73824922358175e-10		1.00000000618734e+00
5.40000000000000e-01    	1.33895305671662e-07 	 -5.87764471042079e-01   8.09016994386086e-01 	1.80863942615634e-06	 1.01391566882155e-04	2.41331912610780e-10		1.00000000514176e+00
5.70000000000000e-01    	1.95708908819249e-07 	 -5.87761760546180e-01   8.09016994394311e-01 	2.32008872055183e-06	 7.64837743936936e-05	3.05075915466259e-10		1.00000000292758e+00
6.00000000000000e-01    	2.73459677937873e-07 	 -5.87760069676172e-01   8.09016994404179e-01 	2.86719080098497e-06	 3.28217876648177e-05	3.47592957728325e-10		1.00000000054275e+00
6.30000000000000e-01    	3.67826753173024e-07 	 -5.87760012293492e-01   8.09016994414755e-01 	3.42270060728616e-06	 -3.29222539030102e-05	3.49146021902006e-10		1.00000000054779e+00
6.60000000000000e-01    	4.78566249439326e-07 	 -5.87762292423854e-01   8.09016994424566e-01 	3.95246636842252e-06	 -1.23371992524714e-04	2.95036209657243e-10		1.00000000761814e+00
6.90000000000000e-01    	6.04318329103855e-07 	 -5.87767677723236e-01   8.09016994431908e-01 	4.41643612940522e-06	 -2.40085236425946e-04	1.87057596255633e-10		1.00000002883021e+00
7.20000000000000e-01    	7.42448384484355e-07 	 -5.87776962115333e-01   8.09016994435564e-01 	4.76989019830126e-06	 -3.83197807072635e-04	5.81668664080433e-11		1.00000007343165e+00
7.50000000000000e-01    	8.88925942753205e-07 	 -5.87790918148185e-01   8.09016994435965e-01 	4.96469053921498e-06	 -5.51098799364855e-04	-1.20502761369521e-11		1.00000015186726e+00
7.80000000000000e-01    	1.03823921792691e-06 	 -5.87810240421205e-01   8.09016994436792e-01 	4.95039041664344e-06	 -7.40164610837105e-04	1.14968398534438e-10		1.00000027393404e+00
8.10000000000000e-01    	1.18334034838302e-06 	 -5.87835482255293e-01   8.09016994446835e-01 	4.67518186004616e-06	 -9.44578858163473e-04	6.41007601664284e-10		1.00000044612544e+00
8.40000000000000e-01    	1.31561859108675e-06 	 -5.87866988566644e-01   8.09016994481793e-01 	4.08686115808146e-06	 -1.15626327774837e-03	1.82209359381192e-09		1.00000066848051e+00
8.70000000000000e-01    	1.42490762079664e-06 	 -5.87904828604578e-01   8.09016994565557e-01 	3.13422423475932e-06	 -1.36494086037890e-03	3.94237060226202e-09		1.00000093153625e+00
9.00000000000000e-01    	1.49954858092692e-06 	 -5.87948732771349e-01   8.09016994730431e-01 	1.76950150358044e-06	 -1.55834686404403e-03	7.26970073888496e-09		1.00000121422330e+00
9.30000000000000e-01    	1.52655049874163e-06 	 -5.87998038106855e-01   8.09016995015777e-01 	-4.74713354502217e-08	 -1.72259616146960e-03	1.19960873303848e-08		1.00000148366767e+00
9.60000000000000e-01    	1.49190963362285e-06 	 -5.88051647150145e-01   8.09016995464750e-01 	-2.34274886725004e-06	 -1.84270689536494e-03	1.81711613062984e-08		1.00000169778565e+00
9.90000000000000e-01    	1.38116284357631e-06 	 -5.88108004749288e-01   8.09016996119085e-01 	-5.11917636796951e-06	 -1.90327101942784e-03	2.56420442582905e-08		1.00000181123175e+00
1.02000000000000e+00    	1.18024976546684e-06 	 -5.88165096961180e-01   8.09016997012388e-01 	-8.34501444061068e-06	 -1.88925246456914e-03	3.40166208153211e-08		1.00000178467067e+00
1.05000000000000e+00    	8.76737801644321e-07 	 -5.88220475458004e-01   8.09016998162909e-01 	-1.19413795365098e-05	 -1.78688391708102e-03	4.26682314126279e-08		1.00000159654709e+00
1.08000000000000e+00    	4.61418491241516e-07 	 -5.88271309848344e-01   8.09016999567266e-01 	-1.57704351343353e-05	 -1.58462409388086e-03	5.07968622074731e-08		1.00000125564033e+00
1.11000000000000e+00    	-6.97857466150670e-08 	 -5.88314469056644e-01   8.09017001196963e-01 	-1.96270032244008e-05	 -1.27412952180815e-03	5.75544508546135e-08		1.00000081189530e+00
1.14000000000000e+00    	-7.13752885101390e-07 	 -5.88346631429403e-01   8.09017002999591e-01 	-2.32366796829494e-05	 -8.51188722500221e-04	6.22302073590215e-08		1.00000036253103e+00
1.17000000000000e+00    	-1.45817132980282e-06 	 -5.88364421610659e-01   8.09017004906285e-01 	-2.62634238546605e-05	 -3.16562868131279e-04	6.44771968357196e-08		1.00000005045091e+00
1.20000000000000e+00    	-2.27994856038806e-06 	 -5.88364570526581e-01   8.09017006846176e-01 	-2.83288020245930e-05	 3.23324178367472e-04	6.45462388588225e-08		1.00000005267052e+00
1.23000000000000e+00    	-3.14438269730098e-06 	 -5.88344093124583e-01   8.09017008767409e-01 	-2.90435526862104e-05	 1.05590168434124e-03	6.34806578828371e-08		1.00000055788579e+00
1.26000000000000e+00    	-4.00545069949969e-06 	 -5.88300476918763e-01   8.09017010662760e-01 	-2.80500108914248e-05	 1.86222396663968e-03	6.32191052887295e-08		1.00000173433095e+00
1.29000000000000e+00    	-4.80748616948552e-06 	 -5.88231872997453e-01   8.09017012596319e-01 	-2.50714452643349e-05	 2.71704044660912e-03	6.65567262139393e-08		1.00000369146187e+00
1.32000000000000e+00    	-5.48836419461877e-06 	 -5.88137280045522e-01   8.09017014726412e-01 	-1.99619394874606e-05	 3.58919463675163e-03	7.69293582051717e-08		1.00000644133757e+00
1.35000000000000e+00    	-5.98408970995560e-06 	 -5.88016711212635e-01   8.09017017319246e-01 	-1.27486040737568e-05	 4.44236890050927e-03	9.80113186951244e-08		1.00000986735331e+00
1.38000000000000e+00    	-6.23442485736552e-06 	 -5.87871333394731e-01   8.09017020747948e-01 	-3.65716244725464e-06	 5.23617567034917e-03	1.33152356581130e-07		1.00001370868056e+00
