0.00000000000000e+00    	0.00000000000000e+00 	 3.00000000000000e+00  	-7.34788079490000e-16    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
4.50000000000000e-01    	-3.40301560558847e-07 	 3.00002675042907e+00   -7.34788079505263e-16 	-7.91766800224543e-06	 2.43213473990321e-04	-3.64432059419764e-25		1.00000002960774e+00
4.80000000000000e-01    	-6.33798726393008e-07 	 3.00003442046051e+00   -7.34788079519659e-16 	-1.18012290845249e-05	 2.65649576596705e-04	-6.08397226777214e-25		1.00000003535448e+00
5.10000000000000e-01    	-1.05752886405426e-06 	 3.00004250126041e+00   -7.34788079542502e-16 	-1.65975777158825e-05	 2.69238656395501e-04	-9.24960210022814e-25		1.00000003638247e+00
5.40000000000000e-01    	-1.63825527806517e-06 	 3.00005030082176e+00   -7.34788079575595e-16 	-2.22509244928205e-05	 2.45415022100964e-04	-1.28417699190002e-24		1.00000003036182e+00
5.70000000000000e-01    	-2.39967889589910e-06 	 3.00005686142945e+00   -7.34788079619363e-16 	-2.86100146101063e-05	 1.85121976246336e-04	-1.62336491109643e-24		1.00000001754434e+00
6.00000000000000e-01    	-3.35933281094971e-06 	 3.00006095387461e+00   -7.34788079671872e-16 	-3.54127050763548e-05	 7.94310739104176e-05	-1.84958946893813e-24		1.00000000378168e+00
6.30000000000000e-01    	-4.52508599204561e-06 	 3.00006109218137e+00   -7.34788079728150e-16 	-4.22757066289433e-05	 -7.97144355915565e-05	-1.85782089527448e-24		1.00000000407081e+00
6.60000000000000e-01    	-5.89144592978893e-06 	 3.00005557207883e+00   -7.34788079780350e-16 	-4.86918459768111e-05	 -2.98666870359537e-04	-1.56984470960653e-24		1.00000004578640e+00
6.90000000000000e-01    	-7.43592265441786e-06 	 3.00004253522848e+00   -7.34788079819419e-16 	-5.40372980497611e-05	 -5.81198466288725e-04	-9.95228742383250e-25		1.00000017035583e+00
7.20000000000000e-01    	-9.11578783292393e-06 	 3.00002005967603e+00   -7.34788079838869e-16 	-5.75910258754284e-05	 -9.27638805793592e-04	-3.09404981786850e-25		1.00000043191515e+00
7.50000000000000e-01    	-1.08656211722663e-05 	 2.99998627520554e+00   -7.34788079841001e-16 	-5.85680057595885e-05	 -1.33408820436918e-03	6.40026967327276e-26		1.00000089161038e+00
7.80000000000000e-01    	-1.25960670460497e-05 	 2.99993950032548e+00   -7.34788079845413e-16 	-5.61666105743358e-05	 -1.79177339517485e-03	-6.12551279801910e-25		1.00000160680200e+00
8.10000000000000e-01    	-1.41942104331831e-05 	 2.99987839562283e+00   -7.34788079898895e-16 	-4.96287719710305e-05	 -2.28661132339383e-03	-3.41313910185725e-24		1.00000261552376e+00
8.40000000000000e-01    	-1.55259081228521e-05 	 2.99980212630764e+00   -7.34788080085015e-16 	-3.83093780508872e-05	 -2.79904198546257e-03	-9.70055102873794e-24		1.00000391804415e+00
8.70000000000000e-01    	-1.64402703054934e-05 	 2.99971052507115e+00   -7.34788080530943e-16 	-2.17490776767456e-05	 -3.30418190430792e-03	-2.09872257950894e-23		1.00000545903064e+00
9.00000000000000e-01    	-1.67762816906222e-05 	 2.99960424502774e+00   -7.34788081408624e-16 	2.57312501536955e-07	 -3.77233617071883e-03	-3.86988889124840e-23		1.00000711523481e+00
