0.00000000000000e+00    	0.00000000000000e+00 	 4.04508497190000e+00  	-2.93892626150000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	2.19375091191375e-12 	 4.04508497187827e+00   -2.93892626150000e+00 	3.60286857064695e-10	 -3.71651961757525e-09	-2.01531591877451e-19		1.00000000000000e+00
6.00000000000000e-02    	6.45037824866803e-11 	 4.04508497111928e+00   -2.93892626150000e+00 	5.16712438595946e-09	 -6.76914713478478e-08	-3.02038031250944e-17		1.00000000000000e+00
9.00000000000000e-02    	4.38544429609109e-10 	 4.04508496542552e+00   -2.93892626150000e+00 	2.25314576164096e-08	 -3.76049247251947e-07	-3.90958922487066e-17		1.00000000000007e+00
1.20000000000000e-01    	1.60242380691663e-09 	 4.04508494279363e+00   -2.93892626150000e+00 	5.81420936204113e-08	 -1.26519975629060e-06	8.16859840183950e-15		1.00000000000080e+00
1.50000000000000e-01    	4.06555550264290e-09 	 4.04508487906292e+00   -2.93892626150000e+00 	1.06955648271836e-07	 -3.20163819455245e-06	1.02407630688674e-13		1.00000000000513e+00
1.80000000000000e-01    	7.91804908650341e-09 	 4.04508473492588e+00   -2.93892626149999e+00 	1.44703614480121e-07	 -6.71351764867582e-06	6.62400966536208e-13		1.00000000002255e+00
2.10000000000000e-01    	1.21398149213706e-08 	 4.04508445564411e+00   -2.93892626149994e+00 	1.20598960956075e-07	 -1.22798115821996e-05	2.93846133980394e-12		1.00000000007540e+00
2.40000000000000e-01    	1.37259964680932e-08 	 4.04508397461619e+00   -2.93892626149977e+00 	-4.73976977973301e-08	 -2.01863397902768e-05	1.00407142794102e-11		1.00000000020375e+00
2.70000000000000e-01    	6.72411474222204e-09 	 4.04508322159025e+00   -2.93892626149923e+00 	-4.73549606153365e-07	 -3.03628022112216e-05	2.81376919757689e-11		1.00000000046106e+00
3.00000000000000e-01    	-1.86895441586228e-08 	 4.04508213582939e+00   -2.93892626149787e+00 	-1.30063196430105e-06	 -4.22188154105205e-05	6.71712650970238e-11		1.00000000089206e+00
3.30000000000000e-01    	-7.69446821895010e-08 	 4.04508068395698e+00   -2.93892626149487e+00 	-2.69100027838910e-06	 -5.44994053822557e-05	1.39928954475671e-10		1.00000000148871e+00
3.60000000000000e-01    	-1.87463913471017e-07 	 4.04507888157947e+00   -2.93892626148902e+00 	-4.81236140671169e-06	 -6.51811971736814e-05	2.58231457965638e-10		1.00000000213587e+00
3.90000000000000e-01    	-3.74548003971262e-07 	 4.04507681715781e+00   -2.93892626147887e+00 	-7.81866997531651e-06	 -7.14294892001461e-05	4.25712602302010e-10		1.00000000258165e+00
4.20000000000000e-01    	-6.66625910084483e-07 	 4.04507467603262e+00   -2.93892626146311e+00 	-1.18270824390110e-05	 -6.96334683377580e-05	6.28465025469650e-10		1.00000000249435e+00
4.50000000000000e-01    	-1.09477150047866e-06 	 4.04507276205682e+00   -2.93892626144119e+00 	-1.68923911139397e-05	 -5.55321062604430e-05	8.27596574808512e-10		1.00000000168458e+00
4.80000000000000e-01    	-1.69043833223875e-06 	 4.04507151400389e+00   -2.93892626141412e+00 	-2.29808054327255e-05	 -2.44370067914296e-05	9.60842997467706e-10		1.00000000056264e+00
