0.00000000000000e+00    	0.00000000000000e+00 	 4.75528258150000e+00  	-1.54508497190000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	2.74085676071432e-12 	 4.75528258148649e+00   -1.54508497190000e+00 	4.52701183081266e-10	 -2.37163175994448e-09	-7.33766826268862e-20		1.00000000000000e+00
6.00000000000000e-02    	8.30372242863213e-11 	 4.75528258095707e+00   -1.54508497190000e+00 	6.74055408654826e-09	 -4.87761372662525e-08	-1.00696445336310e-17		1.00000000000000e+00
9.00000000000000e-02    	5.84656901569975e-10 	 4.75528257661201e+00   -1.54508497190000e+00 	3.07865687238280e-08	 -2.95662691451420e-07	1.19156531388761e-16		1.00000000000004e+00
1.20000000000000e-01    	2.23023515492050e-09 	 4.75528255804949e+00   -1.54508497190000e+00 	8.45258737374550e-08	 -1.06539986156285e-06	6.15263782265485e-15		1.00000000000057e+00
1.50000000000000e-01    	5.98572609295866e-09 	 4.75528250252060e+00   -1.54508497190000e+00 	1.70558795702803e-07	 -2.85674738622252e-06	7.06339589096582e-14		1.00000000000409e+00
1.80000000000000e-01    	1.26258536007501e-08 	 4.75528237005949e+00   -1.54508497189999e+00 	2.71810309059246e-07	 -6.30864477196486e-06	4.55059051734945e-13		1.00000000001994e+00
2.10000000000000e-01    	2.19937664689185e-08 	 4.75528210042736e+00   -1.54508497189996e+00 	3.41754608306748e-07	 -1.21157017316757e-05	2.05184090148073e-12		1.00000000007345e+00
2.40000000000000e-01    	3.19963113833431e-08 	 4.75528161327249e+00   -1.54508497189983e+00 	2.96834267333208e-07	 -2.08994496237520e-05	7.18307118418888e-12		1.00000000021844e+00
2.70000000000000e-01    	3.74243160734269e-08 	 4.75528081270233e+00   -1.54508497189945e+00 	1.26166041611034e-08	 -3.30450234251731e-05	2.07182933491065e-11		1.00000000054599e+00
3.00000000000000e-01    	2.87302975467078e-08 	 4.75527959709486e+00   -1.54508497189842e+00 	-6.75012083852492e-07	 -4.85180151119974e-05	5.11079028980284e-11		1.00000000117723e+00
3.30000000000000e-01    	-9.07036256839443e-09 	 4.75527787447078e+00   -1.54508497189609e+00 	-1.96269430484519e-06	 -6.66803220987397e-05	1.10513098466657e-10		1.00000000222506e+00
3.60000000000000e-01    	-9.71882555257538e-08 	 4.75527558313811e+00   -1.54508497189136e+00 	-4.06606148547893e-06	 -8.61265168248138e-05	2.12963773956750e-10		1.00000000371715e+00
3.90000000000000e-01    	-2.63347701119372e-07 	 4.75527271665617e+00   -1.54508497188277e+00 	-7.19993991350706e-06	 -1.04563280492192e-04	3.69712702070627e-10		1.00000000549266e+00
4.20000000000000e-01    	-5.41395235911227e-07 	 4.75526935149672e+00   -1.54508497186862e+00 	-1.15530317027214e-05	 -1.18753580541456e-04	5.81958681365866e-10		1.00000000711794e+00
4.50000000000000e-01    	-9.70081429946453e-07 	 4.75526567516790e+00   -1.54508497184745e+00 	-1.72583897415126e-05	 -1.24544460329563e-04	8.32956494782528e-10		1.00000000790459e+00
4.80000000000000e-01    	-1.59091659082012e-06 	 4.75526201206573e+00   -1.54508497181864e+00 	-2.43615562308921e-05	 -1.16992619904884e-04	1.08392798991452e-09		1.00000000714038e+00
5.10000000000000e-01    	-2.44506445940260e-06 	 4.75525884398450e+00   -1.54508497178296e+00 	-3.27887184057324e-05	 -9.05956053417125e-05	1.28041171513646e-09		1.00000000464133e+00
5.40000000000000e-01    	-3.56931475772013e-06 	 4.75525682209550e+00   -1.54508497174283e+00 	-4.23176276493366e-05	 -3.96287267591226e-05	1.37665383174458e-09		1.00000000168061e+00
5.70000000000000e-01    	-4.99126228096626e-06 	 4.75525676732680e+00   -1.54508497170130e+00 	-5.25543022368071e-05	 4.14207588429790e-05	1.38415827096847e-09		1.00000000223882e+00
