0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.08000000000000e+00    	2.15054542952015e-07 	 -9.27149808372933e-01   2.85316955506996e+00 	-4.43814362011844e-05	 -3.22188109449484e-04	6.03042347995729e-08		1.00000005288745e+00
1.11000000000000e+00    	-1.25127812581685e-06 	 -9.27158583575158e-01   2.85316955700468e+00 	-5.33046666659868e-05	 -2.59057744845906e-04	6.83267320288303e-08		1.00000003497615e+00
1.14000000000000e+00    	-2.97664842226576e-06 	 -9.27165122863349e-01   2.85316955914471e+00 	-6.15687379054259e-05	 -1.73063835467511e-04	7.38776729055985e-08		1.00000001687090e+00
1.17000000000000e+00    	-4.93372235704596e-06 	 -9.27168739930052e-01   2.85316956140827e+00 	-6.86640274917355e-05	 -6.43609737472877e-05	7.65451750441212e-08		1.00000000442854e+00
1.20000000000000e+00    	-7.07947559660620e-06 	 -9.27168770074091e-01   2.85316956371124e+00 	-7.40579138409680e-05	 6.57447782105552e-05	7.66270726590240e-08		1.00000000490348e+00
1.23000000000000e+00    	-9.35486367466141e-06 	 -9.27164606340211e-01   2.85316956599207e+00 	-7.72194335933452e-05	 2.14697395630775e-04	7.53621573073063e-08		1.00000002602891e+00
1.26000000000000e+00    	-1.16852851478780e-05 	 -9.27155737856175e-01   2.85316956824217e+00 	-7.76473151625010e-05	 3.78644474390473e-04	7.50522614564937e-08		1.00000007470037e+00
1.29000000000000e+00    	-1.39819218494918e-05 	 -9.27141788671736e-01   2.85316957053768e+00 	-7.49001905947684e-05	 5.52451441298526e-04	7.90161330598417e-08		1.00000015540631e+00
1.32000000000000e+00    	-1.61439996811626e-05 	 -9.27122555180161e-01   2.85316957306657e+00 	-6.86274781983350e-05	 7.29782659369438e-04	9.13331649631436e-08		1.00000026864620e+00
1.35000000000000e+00    	-1.80619643322408e-05 	 -9.27098040056115e-01   2.85316957614494e+00 	-5.85991883314779e-05	 9.03252864771836e-04	1.16365763992484e-07		1.00000040964972e+00
1.38000000000000e+00    	-1.96215115429368e-05 	 -9.27068480588877e-01   2.85316958021583e+00 	-4.47327688285521e-05	 1.06464909364125e-03	1.58090733192447e-07		1.00000056773921e+00
1.41000000000000e+00    	-2.07083546112615e-05 	 -9.27034369338464e-01   2.85316958582605e+00 	-2.71151033623909e-05	 1.20521966481504e-03	2.19316779131313e-07		1.00000072664459e+00
1.44000000000000e+00    	-2.12135570598717e-05 	 -9.26996465201369e-01   2.85316959357935e+00 	-6.01792275295840e-06	 1.31602303931881e-03	3.00908919075977e-07		1.00000086597610e+00
