0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	3.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	2.05600007060353e-13 	 9.51056516300676e-01   3.09016994370000e-01 	3.41465732606224e-11	 1.35001860705513e-10	-6.64366521117432e-22		1.00000000000000e+00
6.00000000000000e-02    	6.40853301183781e-12 	 9.51056516342813e-01   3.09016994370000e-01 	5.26541298167010e-10	 4.26217590328094e-09	-3.21468944951121e-19		1.00000000000000e+00
9.00000000000000e-02    	4.65549064620694e-11 	 9.51056516779634e-01   3.09016994370000e-01 	2.50295047186920e-09	 3.16584088395962e-08	-1.12233259216319e-17		1.00000000000000e+00
1.20000000000000e-01    	1.84051838796517e-10 	 9.51056518933319e-01   3.09016994370000e-01 	7.21314878900414e-09	 1.29347431149356e-07	-1.29737092676702e-16		1.00000000000001e+00
1.50000000000000e-01    	5.15552713329531e-10 	 9.51056526050726e-01   3.09016994370000e-01 	1.55057753646084e-08	 3.79255860736717e-07	-7.93886065941648e-16		1.00000000000007e+00
1.80000000000000e-01    	1.14778769874244e-09 	 9.51056544369262e-01   3.09016994370000e-01 	2.70723218074256e-08	 8.98136685488291e-07	-3.12430890431880e-15		1.00000000000040e+00
2.10000000000000e-01    	2.15103547056432e-09 	 9.51056584056261e-01   3.09016994370000e-01 	3.96646562420992e-08	 1.82908972237886e-06	-8.51324916779999e-15		1.00000000000167e+00
2.40000000000000e-01    	3.49017911812514e-09 	 9.51056659763413e-01   3.09016994370000e-01 	4.84031150465663e-08	 3.32441516417201e-06	-1.53796864415734e-14		1.00000000000553e+00
2.70000000000000e-01    	4.93785596814535e-09 	 9.51056790544575e-01   3.09016994369999e-01 	4.52940386237987e-08	 5.52052183049990e-06	-9.95424819995295e-15		1.00000000001524e+00
3.00000000000000e-01    	5.97766264744814e-09 	 9.51056998921784e-01   3.09016994369999e-01 	1.90660787902387e-08	 8.50659651270481e-06	5.16985272916834e-14		1.00000000003618e+00
3.30000000000000e-01    	5.70837357059777e-09 	 9.51057308949365e-01   3.09016994370004e-01 	-4.45860322490449e-08	 1.22896427157410e-05	2.70222780312208e-13		1.00000000007552e+00
3.60000000000000e-01    	2.76235667068616e-09 	 9.51057743215834e-01   3.09016994370019e-01 	-1.62292061212017e-07	 1.67592371973578e-05	8.31768116004437e-13		1.00000000014045e+00
3.90000000000000e-01    	-4.74744231903790e-09 	 9.51058318832057e-01   3.09016994370060e-01 	-3.51811318085770e-07	 2.16558607307951e-05	2.02459382131325e-12		1.00000000023455e+00
4.20000000000000e-01    	-1.92376214877300e-08 	 9.51059042573871e-01   3.09016994370151e-01 	-6.30375703266150e-07	 2.65468790278723e-05	4.22194741220663e-12		1.00000000035257e+00
4.50000000000000e-01    	-4.36086116932955e-08 	 9.51059905468894e-01   3.09016994370327e-01 	-1.01263975924479e-06	 3.08141424710885e-05	7.80832148800146e-12		1.00000000047527e+00
4.80000000000000e-01    	-8.11329360676252e-08 	 9.51060877230426e-01   3.09016994370636e-01 	-1.50835106508312e-06	 3.36567224089931e-05	1.30355237542362e-11		1.00000000056752e+00
5.10000000000000e-01    	-1.35271260123604e-07 	 9.51061901035840e-01   3.09016994371125e-01 	-2.11989449148017e-06	 3.41115139911755e-05	1.98182197983762e-11		1.00000000058404e+00
5.40000000000000e-01    	-2.09415177717668e-07 	 9.51062889213097e-01   3.09016994371834e-01 	-2.83989712037724e-06	 3.10933417450531e-05	2.75148540427544e-11		1.00000000048743e+00
5.70000000000000e-01    	-3.06561668067058e-07 	 9.51063720428438e-01   3.09016994372772e-01 	-3.64910462067689e-06	 2.34548585182186e-05	3.47824396449307e-11		1.00000000028172e+00
6.00000000000000e-01    	-4.28930702177034e-07 	 9.51064238954548e-01   3.09016994373897e-01 	-4.51475242590902e-06	 1.00650061774528e-05	3.96298433605828e-11		1.00000000006084e+00
6.30000000000000e-01    	-5.77544200546433e-07 	 9.51064256537504e-01   3.09016994375103e-01 	-5.38965420929984e-06	 -1.00968000632430e-05	3.98067764893308e-11		1.00000000006550e+00
6.60000000000000e-01    	-7.51791017397565e-07 	 9.51063557271710e-01   3.09016994376221e-01 	-6.21221402257641e-06	 -3.78351879901046e-05	3.36373861766380e-11		1.00000000073505e+00
6.90000000000000e-01    	-9.49008365271465e-07 	 9.51061905736994e-01   3.09016994377059e-01 	-6.90753534753291e-06	 -7.36279245935150e-05	2.13263084238092e-11		1.00000000273439e+00
7.20000000000000e-01    	-1.16411456730905e-06 	 9.51059058456736e-01   3.09016994377475e-01 	-7.38974893249213e-06	 -1.17516684189047e-04	6.63127958649927e-12		1.00000000693239e+00
7.50000000000000e-01    	-1.38933067695577e-06 	 9.51054778509149e-01   3.09016994377521e-01 	-7.56561131334388e-06	 -1.69007447868510e-04	-1.37338733232634e-12		1.00000001431038e+00
7.80000000000000e-01    	-1.61402879235270e-06 	 9.51048852877351e-01   3.09016994377615e-01 	-7.33933861352392e-06	 -2.26988925986683e-04	1.31110699013104e-11		1.00000002578892e+00
8.10000000000000e-01    	-1.82474234206068e-06 	 9.51041111871918e-01   3.09016994378761e-01 	-6.61853912904833e-06	 -2.89677323463206e-04	7.30919924609491e-11		1.00000004197838e+00
