0.00000000000000e+00    	0.00000000000000e+00 	 9.27050983120000e-01  	-2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	4.98383129601714e-14 	 9.27050983120533e-01   -2.85316954890000e+00 	8.27727405951096e-12	 1.06555946909562e-10	1.20402029722968e-21		1.00000000000000e+00
6.00000000000000e-02    	1.55345557756779e-12 	 9.27050983153792e-01   -2.85316954890000e+00 	1.27635845388938e-10	 3.36410318397144e-09	5.82592774481733e-19		1.00000000000000e+00
9.00000000000000e-02    	1.12851081878277e-11 	 9.27050983498571e-01   -2.85316954890000e+00 	6.06725991768057e-10	 2.49877425427739e-08	2.03398452671880e-17		1.00000000000000e+00
1.20000000000000e-01    	4.46149811874114e-11 	 9.27050985198459e-01   -2.85316954890000e+00 	1.74850101840918e-09	 1.02092949051696e-07	2.35120357316585e-16		1.00000000000001e+00
1.50000000000000e-01    	1.24972548965143e-10 	 9.27050990816174e-01   -2.85316954890000e+00 	3.75869303312239e-09	 2.99343784483395e-07	1.43874641351098e-15		1.00000000000004e+00
1.80000000000000e-01    	2.78231245192660e-10 	 9.27051005274856e-01   -2.85316954890000e+00 	6.56259903621597e-09	 7.08892506038290e-07	5.66213272183739e-15		1.00000000000025e+00
2.10000000000000e-01    	5.21433158965664e-10 	 9.27051036599505e-01   -2.85316954890000e+00 	9.61551736297887e-09	 1.44368673352791e-06	1.54284190373887e-14		1.00000000000104e+00
2.40000000000000e-01    	8.46084670292080e-10 	 9.27051096354591e-01   -2.85316954890000e+00 	1.17352230497178e-08	 2.62393588616416e-06	2.78723479248165e-14		1.00000000000344e+00
2.70000000000000e-01    	1.19711844666639e-09 	 9.27051199579180e-01   -2.85316954890000e+00 	1.09852655879428e-08	 4.35730644965518e-06	1.80399113721944e-14		1.00000000000949e+00
3.00000000000000e-01    	1.44945162934031e-09 	 9.27051364049748e-01   -2.85316954890000e+00 	4.63546674909234e-09	 6.71419290851240e-06	-9.36924099715705e-14		1.00000000002254e+00
3.30000000000000e-01    	1.38479125705761e-09 	 9.27051608752197e-01   -2.85316954890001e+00 	-1.07791044112148e-08	 9.70012305963184e-06	-4.89720349148720e-13		1.00000000004705e+00
