0.00000000000000e+00    	0.00000000000000e+00 	 1.76335575690000e+00  	2.42705098310000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	9.47981045919011e-14 	 1.76335575690053e+00   2.42705098310000e+00 	1.57443108581154e-11	 1.06555946909254e-10	-1.02420083909591e-21		1.00000000000000e+00
6.00000000000000e-02    	2.95484807164680e-12 	 1.76335575693379e+00   2.42705098310000e+00 	2.42777799830760e-10	 3.36410318359337e-09	-4.95583014486096e-19		1.00000000000000e+00
9.00000000000000e-02    	2.14655490233244e-11 	 1.76335575727857e+00   2.42705098310000e+00 	1.15406113427060e-09	 2.49877425286937e-08	-1.73021058074711e-17		1.00000000000000e+00
1.20000000000000e-01    	8.48626847049626e-11 	 1.76335575897846e+00   2.42705098310000e+00 	3.32584187046003e-09	 1.02092948879385e-07	-2.00005321648010e-16		1.00000000000001e+00
1.50000000000000e-01    	2.37711343226441e-10 	 1.76335576459617e+00   2.42705098310000e+00 	7.14941856916402e-09	 2.99343783340609e-07	-1.22387079482852e-15		1.00000000000004e+00
1.80000000000000e-01    	5.29223373675767e-10 	 1.76335577905486e+00   2.42705098310000e+00 	1.24825784186546e-08	 7.08892500949881e-07	-4.81649774363722e-15		1.00000000000025e+00
2.10000000000000e-01    	9.91805538541030e-10 	 1.76335581037950e+00   2.42705098310000e+00 	1.82888606043815e-08	 1.44368671652290e-06	-1.31241970033976e-14		1.00000000000104e+00
2.40000000000000e-01    	1.60927414547390e-09 	 1.76335587013459e+00   2.42705098310000e+00 	2.23186148746908e-08	 2.62393584069040e-06	-2.37096351739640e-14		1.00000000000344e+00
2.70000000000000e-01    	2.27681646637529e-09 	 1.76335597335918e+00   2.42705098310000e+00 	2.08866531589165e-08	 4.35730634854925e-06	-1.53456665850392e-14		1.00000000000949e+00
3.00000000000000e-01    	2.75636975454913e-09 	 1.76335613782974e+00   2.42705098310000e+00 	8.79685075974477e-09	 6.71419271736823e-06	7.96995140525291e-14		1.00000000002254e+00
3.30000000000000e-01    	2.63246825227848e-09 	 1.76335638253218e+00   2.42705098310001e+00 	-2.05455035349936e-08	 9.70012274883109e-06	4.16580968236121e-13		1.00000000004705e+00
3.60000000000000e-01    	1.27463159777311e-09 	 1.76335672529545e+00   2.42705098310003e+00 	-7.48068893394477e-08	 1.32279401553477e-05	1.28227071370781e-12		1.00000000008749e+00
3.90000000000000e-01    	-2.18708734667141e-09 	 1.76335717962501e+00   2.42705098310009e+00 	-1.62175171598218e-07	 1.70928082865225e-05	3.12115508009433e-12		1.00000000014610e+00
4.20000000000000e-01    	-8.86679881480904e-09 	 1.76335775086899e+00   2.42705098310023e+00 	-2.90596452335158e-07	 2.09532521444816e-05	6.50863985181898e-12		1.00000000021956e+00
4.50000000000000e-01    	-2.01017551594811e-08 	 1.76335843194555e+00   2.42705098310051e+00 	-4.66830712648662e-07	 2.43213711599930e-05	1.20374662937817e-11		1.00000000029587e+00
4.80000000000000e-01    	-3.74009038171568e-08 	 1.76335919894964e+00   2.42705098310098e+00 	-6.95377994268936e-07	 2.65649992997872e-05	2.00958259767594e-11		1.00000000035309e+00
5.10000000000000e-01    	-6.23601389453410e-08 	 1.76336000703165e+00   2.42705098310174e+00 	-9.77345191530447e-07	 2.69239672481174e-05	3.05521661529293e-11		1.00000000036293e+00
5.40000000000000e-01    	-9.65437170139542e-08 	 1.76336078699284e+00   2.42705098310283e+00 	-1.30933883069378e-06	 2.45417580311097e-05	4.24174546558592e-11		1.00000000030201e+00
5.70000000000000e-01    	-1.41334043624397e-07 	 1.76336144306571e+00   2.42705098310427e+00 	-1.68248051514363e-06	 1.85127853140110e-05	5.36213230854656e-11		1.00000000017278e+00
6.00000000000000e-01    	-1.97755048422936e-07 	 1.76336185233635e+00   2.42705098310601e+00 	-2.08164810345232e-06	 7.94432203572195e-06	6.10942124432848e-11		1.00000000003372e+00
6.30000000000000e-01    	-2.66277481037633e-07 	 1.76336186621819e+00   2.42705098310787e+00 	-2.48504623639425e-06	 -7.96916101191466e-06	6.13670448562755e-11		1.00000000003484e+00
6.60000000000000e-01    	-3.46617493391442e-07 	 1.76336131429970e+00   2.42705098310959e+00 	-2.86420352765307e-06	 -2.98627389851164e-05	5.18562896611162e-11		1.00000000044999e+00
6.90000000000000e-01    	-4.37542600953804e-07 	 1.76336001076699e+00   2.42705098311088e+00 	-3.18447950883885e-06	 -5.81134996972455e-05	3.28773708319831e-11		1.00000000169366e+00
7.20000000000000e-01    	-5.36701284638457e-07 	 1.76335776344751e+00   2.42705098311153e+00 	-3.40614129928209e-06	 -9.27543308567574e-05	1.02231534969338e-11		1.00000000430748e+00
7.50000000000000e-01    	-6.40493829270470e-07 	 1.76335438534246e+00   2.42705098311160e+00 	-3.48603739016772e-06	 -1.33395309742354e-04	-2.11749517057086e-12		1.00000000890323e+00
7.80000000000000e-01    	-7.44002211348855e-07 	 1.76334970832071e+00   2.42705098311174e+00 	-3.37985415749989e-06	 -1.79159318093324e-04	2.02106676597589e-11		1.00000001605474e+00
8.10000000000000e-01    	-8.40995691877667e-07 	 1.76334359844855e+00   2.42705098311351e+00 	-3.04489129586804e-06	 -2.28638447942968e-04	1.12675625211236e-10		1.00000002614241e+00
8.40000000000000e-01    	-9.24026053160661e-07 	 1.76333597223839e+00   2.42705098311965e+00 	-2.44323846836746e-06	 -2.79877275115666e-04	3.20279537814713e-10		1.00000003916863e+00
8.70000000000000e-01    	-9.84622076753934e-07 	 1.76332681293039e+00   2.42705098313437e+00 	-1.54518199715343e-06	 -3.30388145971836e-04	6.92966932770469e-10		1.00000005457936e+00
9.00000000000000e-01    	-1.01358699839862e-06 	 1.76331618578599e+00   2.42705098316335e+00 	-3.32623729397014e-07	 -3.77202265624192e-04	1.27782032398263e-09		1.00000007114083e+00
9.30000000000000e-01    	-1.00139560409607e-06 	 1.76330425128367e+00   2.42705098321351e+00 	1.19773858984310e-06	 -4.16958635078142e-04	2.10858815710494e-09		1.00000008692797e+00
9.60000000000000e-01    	-9.38679869882245e-07 	 1.76329127507619e+00   2.42705098329243e+00 	3.03173227843031e-06	 -4.46030829631492e-04	3.19399346367472e-09		1.00000009947634e+00
9.90000000000000e-01    	-8.16784296564771e-07 	 1.76327763360250e+00   2.42705098340744e+00 	5.13578138241735e-06	 -4.60689334512972e-04	4.50716352967330e-09		1.00000010613051e+00
1.02000000000000e+00    	-6.28365156677973e-07 	 1.76326381435151e+00   2.42705098356446e+00 	7.45593741660065e-06	 -4.57294769600075e-04	5.97917458316743e-09		1.00000010458704e+00
