0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	-9.51056516300000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-4.97771655111153e-13 	 3.09016994373126e-01   -9.51056516300000e-01 	-8.27738625291208e-11	 5.23395306045500e-10	4.17597498582795e-21		1.00000000000000e+00
6.00000000000000e-02    	-1.56135755270040e-11 	 3.09016994471417e-01   -9.51056516300000e-01 	-1.28620868078992e-09	 8.46850028312799e-09	1.85896006973748e-18		1.00000000000000e+00
9.00000000000000e-02    	-1.14185511529137e-10 	 3.09016995137503e-01   -9.51056516300000e-01 	-6.16548035998141e-09	 4.23346412879827e-08	6.57011498952539e-17		1.00000000000000e+00
1.20000000000000e-01    	-4.54748973346537e-10 	 3.09016997538730e-01   -9.51056516300000e-01 	-1.79398920934597e-08	 1.28954294231580e-07	7.99489856436759e-16		1.00000000000001e+00
1.50000000000000e-01    	-1.28451568090821e-09 	 3.09017003679126e-01   -9.51056516300000e-01 	-3.90208004273233e-08	 2.95666571393531e-07	5.32863442357484e-15		1.00000000000004e+00
1.80000000000000e-01    	-2.88842160058694e-09 	 3.09017016255355e-01   -9.51056516300000e-01 	-6.91918124771855e-08	 5.59258609765136e-07	2.39145841536444e-14		1.00000000000016e+00
2.10000000000000e-01    	-5.48138270499597e-09 	 3.09017038148309e-01   -9.51056516299998e-01 	-1.03687014614032e-07	 9.12985125222220e-07	8.05418648728579e-14		1.00000000000042e+00
2.40000000000000e-01    	-9.04484836790920e-09 	 3.09017071516890e-01   -9.51056516299994e-01 	-1.31447554962084e-07	 1.31332669786774e-06	2.16534094110127e-13		1.00000000000087e+00
2.70000000000000e-01    	-1.31173563731057e-08 	 3.09017116513842e-01   -9.51056516299984e-01 	-1.33846094147397e-07	 1.66835608086736e-06	4.81466354821425e-13		1.00000000000140e+00
3.00000000000000e-01    	-1.65572773059406e-08 	 3.09017169700705e-01   -9.51056516299964e-01 	-8.41506091339364e-08	 1.82962550653902e-06	9.00724286300790e-13		1.00000000000168e+00
3.30000000000000e-01    	-1.73034700933442e-08 	 3.09017222294742e-01   -9.51056516299929e-01 	5.20460555320635e-08	 1.58935482434326e-06	1.41754724558469e-12		1.00000000000126e+00
3.60000000000000e-01    	-1.21653711065002e-08 	 3.09017258429942e-01   -9.51056516299880e-01 	3.15274420244690e-07	 6.84391371838478e-07	1.82901126707580e-12		1.00000000000028e+00
3.90000000000000e-01    	3.32258021096288e-09 	 3.09017253651594e-01   -9.51056516299824e-01 	7.49448478083227e-07	 -1.19205811944988e-06	1.76859623511283e-12		1.00000000000099e+00
4.20000000000000e-01    	3.49468496954334e-08 	 3.09017173885178e-01   -9.51056516299782e-01 	1.39797702688985e-06	 -4.37052884649434e-06	8.23350491200196e-13		1.00000000001053e+00
