0.00000000000000e+00    	0.00000000000000e+00 	 -9.51056516300000e-01  	-3.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-4.25268357006649e-13 	 -9.51056516299403e-01   -3.09016994370000e-01 	-7.05269754906114e-11	 8.62715145991586e-11	4.62791415403219e-22		1.00000000000000e+00
6.00000000000000e-02    	-1.31574949779207e-11 	 -9.51056516293620e-01   -3.09016994370000e-01 	-1.07769527993418e-09	 1.06230719083985e-10	6.71675877456965e-20		1.00000000000000e+00
9.00000000000000e-02    	-9.48224374713152e-11 	 -9.51056516348311e-01   -3.09016994370000e-01 	-5.07149780357135e-09	 -5.89367304899551e-09	-5.86802033807370e-18		1.00000000000000e+00
1.20000000000000e-01    	-3.71550128381845e-10 	 -9.51056516904806e-01   -3.09016994370000e-01 	-1.44434501852855e-08	 -3.83806765097228e-08	-1.88243170346049e-16		1.00000000000000e+00
1.50000000000000e-01    	-1.03004972868934e-09 	 -9.51056519327143e-01   -3.09016994370000e-01 	-3.05919103955102e-08	 -1.39320148173453e-07	-2.13111406091422e-15		1.00000000000001e+00
1.80000000000000e-01    	-2.26452875437441e-09 	 -9.51056526610418e-01   -3.09016994370000e-01 	-5.23471786747857e-08	 -3.75721268274248e-07	-1.40589414095128e-14		1.00000000000007e+00
2.10000000000000e-01    	-4.17550631721963e-09 	 -9.51056544129006e-01   -3.09016994370001e-01 	-7.43789434141649e-08	 -8.38591753416933e-07	-6.52174278141837e-14		1.00000000000035e+00
2.40000000000000e-01    	-6.62363513422529e-09 	 -9.51056580275126e-01   -3.09016994370005e-01 	-8.58309170889513e-08	 -1.63659827933536e-06	-2.34582040531614e-13		1.00000000000134e+00
2.70000000000000e-01    	-9.04904635442695e-09 	 -9.51056646825073e-01   -3.09016994370018e-01 	-6.94272161255451e-08	 -2.88427308941873e-06	-6.93414817563344e-13		1.00000000000416e+00
3.00000000000000e-01    	-1.02737699508086e-08 	 -9.51056758874555e-01   -3.09016994370053e-01 	-1.27128219420180e-09	 -4.68520429399972e-06	-1.74813694689321e-12		1.00000000001098e+00
3.30000000000000e-01    	-8.31076558031835e-09 	 -9.51056934206763e-01   -3.09016994370133e-01 	1.48488256668013e-07	 -7.11125043071214e-06	-3.85193076520513e-12		1.00000000002530e+00
3.60000000000000e-01    	-2.07378778161442e-10 	 -9.51057191996613e-01   -3.09016994370300e-01 	4.14016911789602e-07	 -1.01793796344728e-05	-7.53834893820405e-12		1.00000000005190e+00
3.90000000000000e-01    	1.80469310879253e-08 	 -9.51057550809902e-01   -3.09016994370606e-01 	8.31153540411891e-07	 -1.38282020535665e-05	-1.32303833927256e-11		1.00000000009596e+00
4.20000000000000e-01    	5.15193642737912e-08 	 -9.51058025923566e-01   -3.09016994371114e-01 	1.43383729838761e-06	 -1.78965972123350e-05	-2.09068203237438e-11		1.00000000016117e+00
4.50000000000000e-01    	1.06213322259895e-07 	 -9.51058626068179e-01   -3.09016994371872e-01 	2.24976747579284e-06	 -2.21069997395856e-05	-2.96713807398285e-11		1.00000000024689e+00
4.80000000000000e-01    	1.88809367826357e-07 	 -9.51059349770707e-01   -3.09016994372884e-01 	3.29555550883847e-06	 -2.60558714983928e-05	-3.73636866646796e-11		1.00000000034488e+00
