y	z	phi	r	period	thetamin	thetamax
2.75000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.75000000000000e+00	1.42000000000000e+03	3.12829242932865e+00	1.06782789066969e-02
2.80000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.80000000000000e+00	1.40000000000000e+03	3.12307973297009e+00	1.16230016676555e-02
2.85000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.85000000000000e+00	1.36000000000000e+03	3.12253034856967e+00	1.08303405415269e-02
2.90000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.90000000000000e+00	1.36000000000000e+03	3.12606314930927e+00	1.02352126333979e-02
2.95000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.95000000000000e+00	1.34000000000000e+03	3.13065240780364e+00	1.07844004986929e-02
3.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.00000000000000e+00	1.32000000000000e+03	3.12695596930269e+00	1.02060737378076e-02
3.05000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.05000000000000e+00	1.30000000000000e+03	3.12675587124463e+00	1.05647781921139e-02
3.10000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.10000000000000e+00	1.30000000000000e+03	3.12874516658186e+00	9.77406363886702e-03
3.15000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.15000000000000e+00	1.28000000000000e+03	3.12696496102272e+00	9.70781540229688e-03
3.20000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.20000000000000e+00	1.20000000000000e+03	3.12908686535407e+00	9.21096616484323e-03
3.25000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.25000000000000e+00	1.30000000000000e+03	3.13543694862834e+00	8.85049341265795e-03
3.30000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.30000000000000e+00	1.20000000000000e+03	3.13207632676000e+00	8.45164106523207e-03
3.35000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.35000000000000e+00	1.16000000000000e+03	3.13306464881241e+00	8.09895871026473e-03
9.46384963190000e-01	8.27979556100000e-02	8.72664625991671e-02	9.50000000002807e-01	7.22000000000000e+03	3.12814207833365e+00	6.03977889722278e-03
9.96194698090000e-01	8.71557427480000e-02	8.72664626002091e-02	9.99999999998291e-01	6.24000000000000e+03	3.13335611757952e+00	4.76619819272677e-03
1.04600443300000e+00	9.15135298850000e-02	8.72664625993731e-02	1.05000000000365e+00	5.62000000000000e+03	3.13826017384977e+00	2.29724352938997e-03
1.09581416790000e+00	9.58713170220000e-02	8.72664625994054e-02	1.09999999999905e+00	5.10000000000000e+03	3.13980215370614e+00	1.97158361846140e-03
1.14562390280000e+00	1.00229104160000e-01	8.72664626003011e-02	1.14999999999453e+00	4.72000000000000e+03	3.13831928389244e+00	5.26953544133162e-03
1.19543363770000e+00	1.04586891300000e-01	8.72664626027826e-02	1.19999999999019e+00	4.36000000000000e+03	3.13679823156386e+00	7.66220100722422e-03
1.24524337260000e+00	1.08944678430000e-01	8.72664625970959e-02	1.24999999998498e+00	4.12000000000000e+03	3.13672846090031e+00	9.97103153058863e-03
1.29505310750000e+00	1.13302465570000e-01	8.72664625995097e-02	1.29999999998063e+00	3.82000000000000e+03	3.13640043422902e+00	1.23753867137691e-02
1.34486284240000e+00	1.17660252710000e-01	8.72664626017448e-02	1.34999999997629e+00	3.62000000000000e+03	3.13538762301579e+00	1.41486887601552e-02
1.39467257730000e+00	1.22018039850000e-01	8.72664626038201e-02	1.39999999997195e+00	3.44000000000000e+03	3.13471608189251e+00	1.57799402326141e-02
1.44448231220000e+00	1.26375826980000e-01	8.72664625988821e-02	1.44999999996674e+00	3.26000000000000e+03	3.13381664089020e+00	1.81104235054063e-02
1.49429204710000e+00	1.30733614120000e-01	8.72664626009145e-02	1.49999999996240e+00	3.08000000000000e+03	3.13362089671351e+00	1.68246143868614e-02
1.54410178200000e+00	1.35091401260000e-01	8.72664626028158e-02	1.54999999995805e+00	2.94000000000000e+03	3.13361309851135e+00	1.81219183567813e-02
1.59391151690000e+00	1.39449188400000e-01	8.72664626045983e-02	1.59999999995371e+00	2.82000000000000e+03	3.13317564471576e+00	1.78362430600296e-02
1.64372125190000e+00	1.43806975530000e-01	8.72664625949530e-02	1.65000000004812e+00	2.72000000000000e+03	3.13429688046721e+00	1.64701845277189e-02
1.69353098680000e+00	1.48164762670000e-01	8.72664625968620e-02	1.70000000004378e+00	2.58000000000000e+03	3.13464429598732e+00	1.94631835950233e-02
1.74334072170000e+00	1.52522549810000e-01	8.72664625986617e-02	1.75000000003943e+00	2.50000000000000e+03	3.12931042690546e+00	2.09022987649591e-02
1.79315045660000e+00	1.56880336950000e-01	8.72664626003616e-02	1.80000000003509e+00	2.40000000000000e+03	3.13153297464814e+00	2.45849470326954e-02
1.84296019150000e+00	1.61238124080000e-01	8.72664625965847e-02	1.85000000002988e+00	2.32000000000000e+03	3.13249120833400e+00	2.18348456445143e-02
1.89276992640000e+00	1.65595911220000e-01	8.72664625982497e-02	1.90000000002554e+00	2.22000000000000e+03	3.12751504279425e+00	2.12521955822711e-02
1.94257966130000e+00	1.69953698360000e-01	8.72664625998293e-02	1.95000000002120e+00	2.18000000000000e+03	3.13076802537034e+00	1.93784186676923e-02
1.99238939620000e+00	1.74311485500000e-01	8.72664626013300e-02	2.00000000001685e+00	2.12000000000000e+03	3.12818180975798e+00	2.07969173363449e-02
2.04219913110000e+00	1.78669272630000e-01	8.72664625978979e-02	2.05000000001164e+00	2.04000000000000e+03	3.12862800828921e+00	2.09755108635907e-02
2.09200886600000e+00	1.83027059770000e-01	8.72664625993731e-02	2.10000000000730e+00	1.98000000000000e+03	3.12876712094823e+00	2.53264280025611e-02
2.14181860090000e+00	1.87384846910000e-01	8.72664626007797e-02	2.15000000000296e+00	1.94000000000000e+03	3.12758530054188e+00	2.09032106360229e-02
2.19162833580000e+00	1.91742634040000e-01	8.72664625975941e-02	2.19999999999774e+00	1.86000000000000e+03	3.13237043820629e+00	2.50290441135311e-02
2.24143807070000e+00	1.96100421180000e-01	8.72664625989777e-02	2.24999999999340e+00	1.82000000000000e+03	3.12846105952520e+00	2.31872941539619e-02
2.29124780560000e+00	2.00458208320000e-01	8.72664626003011e-02	2.29999999998906e+00	1.76000000000000e+03	3.12605224680828e+00	2.37679314704778e-02
2.34105754050000e+00	2.04815995460000e-01	8.72664626015683e-02	2.34999999998472e+00	1.72000000000000e+03	3.13076448728453e+00	2.07477538403499e-02
